Table,Column,Type,Nullable,Default
Categories,CategoryID,INTEGER,True,
Categories,CategoryName,TEXT,True,
Categories,Description,TEXT,True,
Categories,Picture,BLOB,True,
CustomerCustomerDemo,CustomerID,TEXT,False,
CustomerCustomerDemo,CustomerTypeID,TEXT,False,
CustomerDemographics,CustomerTypeID,TEXT,False,
CustomerDemographics,CustomerDesc,TEXT,True,
Customers,CustomerID,TEXT,True,
Customers,CompanyName,TEXT,True,
Customers,ContactName,TEXT,True,
Customers,ContactTitle,TEXT,True,
Customers,Address,TEXT,True,
Customers,City,TEXT,True,
Customers,Region,TEXT,True,
Customers,PostalCode,TEXT,True,
Customers,Country,TEXT,True,
Customers,Phone,TEXT,True,
Customers,Fax,TEXT,True,
EmployeeTerritories,EmployeeID,INTEGER,False,
EmployeeTerritories,TerritoryID,TEXT,False,
Employees,EmployeeID,INTEGER,True,
Employees,LastName,TEXT,True,
Employees,FirstName,TEXT,True,
Employees,Title,TEXT,True,
Employees,TitleOfCourtesy,TEXT,True,
Employees,BirthDate,DATE,True,
Employees,HireDate,DATE,True,
Employees,Address,TEXT,True,
Employees,City,TEXT,True,
Employees,Region,TEXT,True,
Employees,PostalCode,TEXT,True,
Employees,Country,TEXT,True,
Employees,HomePhone,TEXT,True,
Employees,Extension,TEXT,True,
Employees,Photo,BLOB,True,
Employees,Notes,TEXT,True,
Employees,ReportsTo,INTEGER,True,
Employees,PhotoPath,TEXT,True,
Order Details,OrderID,INTEGER,False,
Order Details,ProductID,INTEGER,False,
Order Details,UnitPrice,NUMERIC,False,0
Order Details,Quantity,INTEGER,False,1
Order Details,Discount,REAL,False,0
Orders,OrderID,INTEGER,False,
Orders,CustomerID,TEXT,True,
Orders,EmployeeID,INTEGER,True,
Orders,OrderDate,DATETIME,True,
Orders,RequiredDate,DATETIME,True,
Orders,ShippedDate,DATETIME,True,
Orders,ShipVia,INTEGER,True,
Orders,Freight,NUMERIC,True,0
Orders,ShipName,TEXT,True,
Orders,ShipAddress,TEXT,True,
Orders,ShipCity,TEXT,True,
Orders,ShipRegion,TEXT,True,
Orders,ShipPostalCode,TEXT,True,
Orders,ShipCountry,TEXT,True,
Products,ProductID,INTEGER,False,
Products,ProductName,TEXT,False,
Products,SupplierID,INTEGER,True,
Products,CategoryID,INTEGER,True,
Products,QuantityPerUnit,TEXT,True,
Products,UnitPrice,NUMERIC,True,0
Products,UnitsInStock,INTEGER,True,0
Products,UnitsOnOrder,INTEGER,True,0
Products,ReorderLevel,INTEGER,True,0
Products,Discontinued,TEXT,False,'0'
Regions,RegionID,INTEGER,False,
Regions,RegionDescription,TEXT,False,
Shippers,ShipperID,INTEGER,False,
Shippers,CompanyName,TEXT,False,
Shippers,Phone,TEXT,True,
Suppliers,SupplierID,INTEGER,False,
Suppliers,CompanyName,TEXT,False,
Suppliers,ContactName,TEXT,True,
Suppliers,ContactTitle,TEXT,True,
Suppliers,Address,TEXT,True,
Suppliers,City,TEXT,True,
Suppliers,Region,TEXT,True,
Suppliers,PostalCode,TEXT,True,
Suppliers,Country,TEXT,True,
Suppliers,Phone,TEXT,True,
Suppliers,Fax,TEXT,True,
Suppliers,HomePage,TEXT,True,
Territories,TerritoryID,TEXT,False,
Territories,TerritoryDescription,TEXT,False,
Territories,RegionID,INTEGER,False,
